Source,Target,Weight
CYP102,CYP105,0.005
CYP102,CYP108,0.005
CYP102,CYP123,0.005
CYP102,CYP124,0.005
CYP102,CYP125,0.005
CYP102,CYP126,0.005
CYP102,CYP130,0.005
CYP102,CYP135,0.005
CYP102,CYP136,0.005
CYP102,CYP138,0.005
CYP102,CYP140,0.005
CYP102,CYP142,0.005
CYP102,CYP144,0.005
CYP102,CYP150,0.005
CYP102,CYP151,0.005
CYP102,CYP185,0.005
CYP102,CYP187,0.005
CYP102,CYP188,0.005
CYP102,CYP189,0.005
CYP102,CYP190,0.005
CYP102,CYP191,0.005
CYP102,CYP268,0.005
CYP102,CYP279,0.005
CYP102,CYP282,0.005
CYP102,CYP51,0.005
CYP102,New_family_1,0.005
CYP1027,CYP105,0.015
CYP1027,CYP108,0.015
CYP1027,CYP123,0.015
CYP1027,CYP124,0.015
CYP1027,CYP125,0.015
CYP1027,CYP126,0.015
CYP1027,CYP130,0.015
CYP1027,CYP135,0.005
CYP1027,CYP136,0.015
CYP1027,CYP138,0.015
CYP1027,CYP140,0.015
CYP1027,CYP142,0.015
CYP1027,CYP143,0.01
CYP1027,CYP144,0.015
CYP1027,CYP150,0.015
CYP1027,CYP153,0.005
CYP1027,CYP164,0.015
CYP1027,CYP185,0.015
CYP1027,CYP187,0.015
CYP1027,CYP188,0.015
CYP1027,CYP189,0.015
CYP1027,CYP190,0.015
CYP1027,CYP191,0.015
CYP1027,CYP243,0.01
CYP1027,CYP268,0.01
CYP1027,CYP279,0.015
CYP1027,CYP282,0.005
CYP1027,CYP291,0.01
CYP1027,CYP51,0.015
CYP1027,New_family_1,0.015
CYP1027,New_family_2,0.015
CYP1027,New_family_4,0.005
CYP1034,CYP105,0.02
CYP1034,CYP108,0.02
CYP1034,CYP123,0.02
CYP1034,CYP124,0.02
CYP1034,CYP125,0.02
CYP1034,CYP126,0.02
CYP1034,CYP130,0.02
CYP1034,CYP136,0.02
CYP1034,CYP138,0.02
CYP1034,CYP139,0.02
CYP1034,CYP140,0.02
CYP1034,CYP142,0.02
CYP1034,CYP143,0.015
CYP1034,CYP144,0.02
CYP1034,CYP150,0.02
CYP1034,CYP164,0.02
CYP1034,CYP185,0.02
CYP1034,CYP187,0.02
CYP1034,CYP188,0.02
CYP1034,CYP189,0.02
CYP1034,CYP190,0.02
CYP1034,CYP191,0.02
CYP1034,CYP243,0.02
CYP1034,CYP268,0.02
CYP1034,CYP272,0.02
CYP1034,CYP279,0.02
CYP1034,CYP291,0.02
CYP1034,CYP51,0.02
CYP1034,New_family_1,0.02
CYP1034,New_family_2,0.02
CYP105,CYP102,0.005
CYP105,CYP1027,0.015
CYP105,CYP1034,0.02
CYP105,CYP107,0.015
CYP105,CYP108,0.06
CYP105,CYP123,0.06
CYP105,CYP124,0.06
CYP105,CYP125,0.06
CYP105,CYP126,0.06
CYP105,CYP130,0.06
CYP105,CYP135,0.025
CYP105,CYP136,0.06
CYP105,CYP138,0.06
CYP105,CYP139,0.025
CYP105,CYP140,0.06
CYP105,CYP142,0.06
CYP105,CYP143,0.03
CYP105,CYP144,0.06
CYP105,CYP150,0.06
CYP105,CYP151,0.02
CYP105,CYP153,0.005
CYP105,CYP164,0.055
CYP105,CYP185,0.055
CYP105,CYP186,0.015
CYP105,CYP187,0.06
CYP105,CYP188,0.06
CYP105,CYP189,0.06
CYP105,CYP190,0.06
CYP105,CYP191,0.06
CYP105,CYP243,0.035
CYP105,CYP268,0.055
CYP105,CYP272,0.025
CYP105,CYP279,0.055
CYP105,CYP282,0.01
CYP105,CYP291,0.035
CYP105,CYP51,0.06
CYP105,New_family_1,0.06
CYP105,New_family_2,0.04
CYP105,New_family_3,0.01
CYP105,New_family_4,0.005
CYP105,New_family_5,0.01
CYP107,CYP105,0.015
CYP107,CYP108,0.015
CYP107,CYP123,0.015
CYP107,CYP124,0.015
CYP107,CYP125,0.015
CYP107,CYP126,0.015
CYP107,CYP130,0.015
CYP107,CYP135,0.015
CYP107,CYP136,0.015
CYP107,CYP138,0.015
CYP107,CYP140,0.015
CYP107,CYP142,0.015
CYP107,CYP144,0.015
CYP107,CYP150,0.015
CYP107,CYP151,0.015
CYP107,CYP164,0.015
CYP107,CYP185,0.015
CYP107,CYP186,0.015
CYP107,CYP187,0.015
CYP107,CYP188,0.015
CYP107,CYP189,0.015
CYP107,CYP190,0.015
CYP107,CYP191,0.015
CYP107,CYP268,0.015
CYP107,CYP279,0.01
CYP107,CYP51,0.015
CYP107,New_family_1,0.015
CYP107,New_family_3,0.01
CYP107,New_family_5,0.01
CYP108,CYP102,0.005
CYP108,CYP1027,0.015
CYP108,CYP1034,0.02
CYP108,CYP105,0.06
CYP108,CYP107,0.015
CYP108,CYP123,0.06
CYP108,CYP124,0.06
CYP108,CYP125,0.06
CYP108,CYP126,0.06
CYP108,CYP130,0.06
CYP108,CYP135,0.025
CYP108,CYP136,0.06
CYP108,CYP138,0.06
CYP108,CYP139,0.025
CYP108,CYP140,0.06
CYP108,CYP142,0.06
CYP108,CYP143,0.03
CYP108,CYP144,0.06
CYP108,CYP150,0.06
CYP108,CYP151,0.02
CYP108,CYP153,0.005
CYP108,CYP164,0.055
CYP108,CYP185,0.055
CYP108,CYP186,0.015
CYP108,CYP187,0.06
CYP108,CYP188,0.06
CYP108,CYP189,0.06
CYP108,CYP190,0.06
CYP108,CYP191,0.06
CYP108,CYP243,0.035
CYP108,CYP268,0.055
CYP108,CYP272,0.025
CYP108,CYP279,0.055
CYP108,CYP282,0.01
CYP108,CYP291,0.035
CYP108,CYP51,0.06
CYP108,New_family_1,0.06
CYP108,New_family_2,0.04
CYP108,New_family_3,0.01
CYP108,New_family_4,0.005
CYP108,New_family_5,0.01
CYP121,CYP123,0.18
CYP121,CYP124,0.19
CYP121,CYP125,0.025
CYP121,CYP126,0.02
CYP121,CYP128,0.185
CYP121,CYP130,0.165
CYP121,CYP135,0.19
CYP121,CYP136,0.19
CYP121,CYP137,0.19
CYP121,CYP138,0.19
CYP121,CYP139,0.19
CYP121,CYP140,0.19
CYP121,CYP141,0.16
CYP121,CYP142,0.18
CYP121,CYP143,0.19
CYP121,CYP144,0.19
CYP121,CYP51,0.185
CYP121,New_family_1,0.185
CYP123,CYP102,0.005
CYP123,CYP1027,0.015
CYP123,CYP1034,0.02
CYP123,CYP105,0.06
CYP123,CYP107,0.015
CYP123,CYP108,0.06
CYP123,CYP121,0.18
CYP123,CYP124,0.24
CYP123,CYP125,0.075
CYP123,CYP126,0.08
CYP123,CYP128,0.175
CYP123,CYP130,0.215
CYP123,CYP135,0.205
CYP123,CYP136,0.24
CYP123,CYP137,0.18
CYP123,CYP138,0.24
CYP123,CYP139,0.205
CYP123,CYP140,0.24
CYP123,CYP141,0.15
CYP123,CYP142,0.24
CYP123,CYP143,0.21
CYP123,CYP144,0.24
CYP123,CYP150,0.06
CYP123,CYP151,0.02
CYP123,CYP153,0.005
CYP123,CYP164,0.055
CYP123,CYP185,0.055
CYP123,CYP186,0.015
CYP123,CYP187,0.06
CYP123,CYP188,0.06
CYP123,CYP189,0.06
CYP123,CYP190,0.06
CYP123,CYP191,0.06
CYP123,CYP243,0.035
CYP123,CYP268,0.055
CYP123,CYP272,0.025
CYP123,CYP279,0.055
CYP123,CYP282,0.01
CYP123,CYP291,0.035
CYP123,CYP51,0.235
CYP123,New_family_1,0.235
CYP123,New_family_2,0.04
CYP123,New_family_3,0.01
CYP123,New_family_4,0.005
CYP123,New_family_5,0.01
CYP124,CYP102,0.005
CYP124,CYP1027,0.015
CYP124,CYP1034,0.02
CYP124,CYP105,0.06
CYP124,CYP107,0.015
CYP124,CYP108,0.06
CYP124,CYP121,0.19
CYP124,CYP123,0.24
CYP124,CYP125,0.085
CYP124,CYP126,0.08
CYP124,CYP128,0.185
CYP124,CYP130,0.225
CYP124,CYP135,0.215
CYP124,CYP136,0.25
CYP124,CYP137,0.19
CYP124,CYP138,0.25
CYP124,CYP139,0.215
CYP124,CYP140,0.25
CYP124,CYP141,0.16
CYP124,CYP142,0.24
CYP124,CYP143,0.22
CYP124,CYP144,0.25
CYP124,CYP150,0.06
CYP124,CYP151,0.02
CYP124,CYP153,0.005
CYP124,CYP164,0.055
CYP124,CYP185,0.055
CYP124,CYP186,0.015
CYP124,CYP187,0.06
CYP124,CYP188,0.06
CYP124,CYP189,0.06
CYP124,CYP190,0.06
CYP124,CYP191,0.06
CYP124,CYP243,0.035
CYP124,CYP268,0.055
CYP124,CYP272,0.025
CYP124,CYP279,0.055
CYP124,CYP282,0.01
CYP124,CYP291,0.035
CYP124,CYP51,0.245
CYP124,New_family_1,0.245
CYP124,New_family_2,0.04
CYP124,New_family_3,0.01
CYP124,New_family_4,0.005
CYP124,New_family_5,0.01
CYP125,CYP102,0.005
CYP125,CYP1027,0.015
CYP125,CYP1034,0.02
CYP125,CYP105,0.06
CYP125,CYP107,0.015
CYP125,CYP108,0.06
CYP125,CYP121,0.025
CYP125,CYP123,0.075
CYP125,CYP124,0.085
CYP125,CYP126,0.07
CYP125,CYP128,0.02
CYP125,CYP130,0.085
CYP125,CYP135,0.05
CYP125,CYP136,0.085
CYP125,CYP137,0.025
CYP125,CYP138,0.085
CYP125,CYP139,0.05
CYP125,CYP140,0.085
CYP125,CYP141,0.02
CYP125,CYP142,0.075
CYP125,CYP143,0.055
CYP125,CYP144,0.085
CYP125,CYP150,0.06
CYP125,CYP151,0.02
CYP125,CYP153,0.005
CYP125,CYP164,0.055
CYP125,CYP185,0.055
CYP125,CYP186,0.015
CYP125,CYP187,0.06
CYP125,CYP188,0.06
CYP125,CYP189,0.06
CYP125,CYP190,0.06
CYP125,CYP191,0.06
CYP125,CYP243,0.035
CYP125,CYP268,0.055
CYP125,CYP272,0.025
CYP125,CYP279,0.055
CYP125,CYP282,0.01
CYP125,CYP291,0.035
CYP125,CYP51,0.08
CYP125,New_family_1,0.085
CYP125,New_family_2,0.04
CYP125,New_family_3,0.01
CYP125,New_family_4,0.005
CYP125,New_family_5,0.01
CYP126,CYP102,0.005
CYP126,CYP1027,0.015
CYP126,CYP1034,0.02
CYP126,CYP105,0.06
CYP126,CYP107,0.015
CYP126,CYP108,0.06
CYP126,CYP121,0.02
CYP126,CYP123,0.08
CYP126,CYP124,0.08
CYP126,CYP125,0.07
CYP126,CYP128,0.015
CYP126,CYP130,0.08
CYP126,CYP135,0.045
CYP126,CYP136,0.08
CYP126,CYP137,0.02
CYP126,CYP138,0.08
CYP126,CYP139,0.045
CYP126,CYP140,0.08
CYP126,CYP141,0.015
CYP126,CYP142,0.08
CYP126,CYP143,0.05
CYP126,CYP144,0.08
CYP126,CYP150,0.06
CYP126,CYP151,0.02
CYP126,CYP153,0.005
CYP126,CYP164,0.055
CYP126,CYP185,0.055
CYP126,CYP186,0.015
CYP126,CYP187,0.06
CYP126,CYP188,0.06
CYP126,CYP189,0.06
CYP126,CYP190,0.06
CYP126,CYP191,0.06
CYP126,CYP243,0.035
CYP126,CYP268,0.055
CYP126,CYP272,0.025
CYP126,CYP279,0.055
CYP126,CYP282,0.01
CYP126,CYP291,0.035
CYP126,CYP51,0.075
CYP126,New_family_1,0.08
CYP126,New_family_2,0.04
CYP126,New_family_3,0.01
CYP126,New_family_4,0.005
CYP126,New_family_5,0.01
CYP128,CYP121,0.185
CYP128,CYP123,0.175
CYP128,CYP124,0.185
CYP128,CYP125,0.02
CYP128,CYP126,0.015
CYP128,CYP130,0.16
CYP128,CYP135,0.185
CYP128,CYP136,0.185
CYP128,CYP137,0.185
CYP128,CYP138,0.185
CYP128,CYP139,0.185
CYP128,CYP140,0.185
CYP128,CYP141,0.16
CYP128,CYP142,0.175
CYP128,CYP143,0.185
CYP128,CYP144,0.185
CYP128,CYP51,0.185
CYP128,New_family_1,0.18
CYP130,CYP102,0.005
CYP130,CYP1027,0.015
CYP130,CYP1034,0.02
CYP130,CYP105,0.06
CYP130,CYP107,0.015
CYP130,CYP108,0.06
CYP130,CYP121,0.165
CYP130,CYP123,0.215
CYP130,CYP124,0.225
CYP130,CYP125,0.085
CYP130,CYP126,0.08
CYP130,CYP128,0.16
CYP130,CYP135,0.19
CYP130,CYP136,0.225
CYP130,CYP137,0.165
CYP130,CYP138,0.225
CYP130,CYP139,0.19
CYP130,CYP140,0.225
CYP130,CYP141,0.16
CYP130,CYP142,0.215
CYP130,CYP143,0.195
CYP130,CYP144,0.225
CYP130,CYP150,0.06
CYP130,CYP151,0.02
CYP130,CYP153,0.005
CYP130,CYP164,0.055
CYP130,CYP185,0.055
CYP130,CYP186,0.015
CYP130,CYP187,0.06
CYP130,CYP188,0.06
CYP130,CYP189,0.06
CYP130,CYP190,0.06
CYP130,CYP191,0.06
CYP130,CYP243,0.035
CYP130,CYP268,0.055
CYP130,CYP272,0.025
CYP130,CYP279,0.055
CYP130,CYP282,0.01
CYP130,CYP291,0.035
CYP130,CYP51,0.22
CYP130,New_family_1,0.22
CYP130,New_family_2,0.04
CYP130,New_family_3,0.01
CYP130,New_family_4,0.005
CYP130,New_family_5,0.01
CYP135,CYP102,0.005
CYP135,CYP1027,0.005
CYP135,CYP105,0.025
CYP135,CYP107,0.015
CYP135,CYP108,0.025
CYP135,CYP121,0.19
CYP135,CYP123,0.205
CYP135,CYP124,0.215
CYP135,CYP125,0.05
CYP135,CYP126,0.045
CYP135,CYP128,0.185
CYP135,CYP130,0.19
CYP135,CYP136,0.215
CYP135,CYP137,0.19
CYP135,CYP138,0.215
CYP135,CYP139,0.19
CYP135,CYP140,0.215
CYP135,CYP141,0.16
CYP135,CYP142,0.205
CYP135,CYP143,0.19
CYP135,CYP144,0.215
CYP135,CYP150,0.025
CYP135,CYP151,0.02
CYP135,CYP164,0.02
CYP135,CYP185,0.025
CYP135,CYP186,0.015
CYP135,CYP187,0.025
CYP135,CYP188,0.025
CYP135,CYP189,0.025
CYP135,CYP190,0.025
CYP135,CYP191,0.025
CYP135,CYP268,0.02
CYP135,CYP279,0.02
CYP135,CYP282,0.01
CYP135,CYP51,0.21
CYP135,New_family_1,0.21
CYP135,New_family_2,0.005
CYP135,New_family_3,0.01
CYP135,New_family_4,0.005
CYP135,New_family_5,0.01
CYP136,CYP102,0.005
CYP136,CYP1027,0.015
CYP136,CYP1034,0.02
CYP136,CYP105,0.06
CYP136,CYP107,0.015
CYP136,CYP108,0.06
CYP136,CYP121,0.19
CYP136,CYP123,0.24
CYP136,CYP124,0.25
CYP136,CYP125,0.085
CYP136,CYP126,0.08
CYP136,CYP128,0.185
CYP136,CYP130,0.225
CYP136,CYP135,0.215
CYP136,CYP137,0.19
CYP136,CYP138,0.25
CYP136,CYP139,0.215
CYP136,CYP140,0.25
CYP136,CYP141,0.16
CYP136,CYP142,0.24
CYP136,CYP143,0.22
CYP136,CYP144,0.25
CYP136,CYP150,0.06
CYP136,CYP151,0.02
CYP136,CYP153,0.005
CYP136,CYP164,0.055
CYP136,CYP185,0.055
CYP136,CYP186,0.015
CYP136,CYP187,0.06
CYP136,CYP188,0.06
CYP136,CYP189,0.06
CYP136,CYP190,0.06
CYP136,CYP191,0.06
CYP136,CYP243,0.035
CYP136,CYP268,0.055
CYP136,CYP272,0.025
CYP136,CYP279,0.055
CYP136,CYP282,0.01
CYP136,CYP291,0.035
CYP136,CYP51,0.245
CYP136,New_family_1,0.245
CYP136,New_family_2,0.04
CYP136,New_family_3,0.01
CYP136,New_family_4,0.005
CYP136,New_family_5,0.01
CYP137,CYP121,0.19
CYP137,CYP123,0.18
CYP137,CYP124,0.19
CYP137,CYP125,0.025
CYP137,CYP126,0.02
CYP137,CYP128,0.185
CYP137,CYP130,0.165
CYP137,CYP135,0.19
CYP137,CYP136,0.19
CYP137,CYP138,0.19
CYP137,CYP139,0.19
CYP137,CYP140,0.19
CYP137,CYP141,0.16
CYP137,CYP142,0.18
CYP137,CYP143,0.19
CYP137,CYP144,0.19
CYP137,CYP51,0.185
CYP137,New_family_1,0.185
CYP138,CYP102,0.005
CYP138,CYP1027,0.015
CYP138,CYP1034,0.02
CYP138,CYP105,0.06
CYP138,CYP107,0.015
CYP138,CYP108,0.06
CYP138,CYP121,0.19
CYP138,CYP123,0.24
CYP138,CYP124,0.25
CYP138,CYP125,0.085
CYP138,CYP126,0.08
CYP138,CYP128,0.185
CYP138,CYP130,0.225
CYP138,CYP135,0.215
CYP138,CYP136,0.25
CYP138,CYP137,0.19
CYP138,CYP139,0.215
CYP138,CYP140,0.25
CYP138,CYP141,0.16
CYP138,CYP142,0.24
CYP138,CYP143,0.22
CYP138,CYP144,0.25
CYP138,CYP150,0.06
CYP138,CYP151,0.02
CYP138,CYP153,0.005
CYP138,CYP164,0.055
CYP138,CYP185,0.055
CYP138,CYP186,0.015
CYP138,CYP187,0.06
CYP138,CYP188,0.06
CYP138,CYP189,0.06
CYP138,CYP190,0.06
CYP138,CYP191,0.06
CYP138,CYP243,0.035
CYP138,CYP268,0.055
CYP138,CYP272,0.025
CYP138,CYP279,0.055
CYP138,CYP282,0.01
CYP138,CYP291,0.035
CYP138,CYP51,0.245
CYP138,New_family_1,0.245
CYP138,New_family_2,0.04
CYP138,New_family_3,0.01
CYP138,New_family_4,0.005
CYP138,New_family_5,0.01
CYP139,CYP1034,0.02
CYP139,CYP105,0.025
CYP139,CYP108,0.025
CYP139,CYP121,0.19
CYP139,CYP123,0.205
CYP139,CYP124,0.215
CYP139,CYP125,0.05
CYP139,CYP126,0.045
CYP139,CYP128,0.185
CYP139,CYP130,0.19
CYP139,CYP135,0.19
CYP139,CYP136,0.215
CYP139,CYP137,0.19
CYP139,CYP138,0.215
CYP139,CYP140,0.215
CYP139,CYP141,0.16
CYP139,CYP142,0.205
CYP139,CYP143,0.21
CYP139,CYP144,0.215
CYP139,CYP150,0.025
CYP139,CYP164,0.025
CYP139,CYP185,0.02
CYP139,CYP187,0.025
CYP139,CYP188,0.025
CYP139,CYP189,0.025
CYP139,CYP190,0.025
CYP139,CYP191,0.025
CYP139,CYP243,0.025
CYP139,CYP268,0.025
CYP139,CYP272,0.025
CYP139,CYP279,0.025
CYP139,CYP291,0.025
CYP139,CYP51,0.21
CYP139,New_family_1,0.21
CYP139,New_family_2,0.025
CYP140,CYP102,0.005
CYP140,CYP1027,0.015
CYP140,CYP1034,0.02
CYP140,CYP105,0.06
CYP140,CYP107,0.015
CYP140,CYP108,0.06
CYP140,CYP121,0.19
CYP140,CYP123,0.24
CYP140,CYP124,0.25
CYP140,CYP125,0.085
CYP140,CYP126,0.08
CYP140,CYP128,0.185
CYP140,CYP130,0.225
CYP140,CYP135,0.215
CYP140,CYP136,0.25
CYP140,CYP137,0.19
CYP140,CYP138,0.25
CYP140,CYP139,0.215
CYP140,CYP141,0.16
CYP140,CYP142,0.24
CYP140,CYP143,0.22
CYP140,CYP144,0.25
CYP140,CYP150,0.06
CYP140,CYP151,0.02
CYP140,CYP153,0.005
CYP140,CYP164,0.055
CYP140,CYP185,0.055
CYP140,CYP186,0.015
CYP140,CYP187,0.06
CYP140,CYP188,0.06
CYP140,CYP189,0.06
CYP140,CYP190,0.06
CYP140,CYP191,0.06
CYP140,CYP243,0.035
CYP140,CYP268,0.055
CYP140,CYP272,0.025
CYP140,CYP279,0.055
CYP140,CYP282,0.01
CYP140,CYP291,0.035
CYP140,CYP51,0.245
CYP140,New_family_1,0.245
CYP140,New_family_2,0.04
CYP140,New_family_3,0.01
CYP140,New_family_4,0.005
CYP140,New_family_5,0.01
CYP141,CYP121,0.16
CYP141,CYP123,0.15
CYP141,CYP124,0.16
CYP141,CYP125,0.02
CYP141,CYP126,0.015
CYP141,CYP128,0.16
CYP141,CYP130,0.16
CYP141,CYP135,0.16
CYP141,CYP136,0.16
CYP141,CYP137,0.16
CYP141,CYP138,0.16
CYP141,CYP139,0.16
CYP141,CYP140,0.16
CYP141,CYP142,0.15
CYP141,CYP143,0.16
CYP141,CYP144,0.16
CYP141,CYP51,0.16
CYP141,New_family_1,0.155
CYP142,CYP102,0.005
CYP142,CYP1027,0.015
CYP142,CYP1034,0.02
CYP142,CYP105,0.06
CYP142,CYP107,0.015
CYP142,CYP108,0.06
CYP142,CYP121,0.18
CYP142,CYP123,0.24
CYP142,CYP124,0.24
CYP142,CYP125,0.075
CYP142,CYP126,0.08
CYP142,CYP128,0.175
CYP142,CYP130,0.215
CYP142,CYP135,0.205
CYP142,CYP136,0.24
CYP142,CYP137,0.18
CYP142,CYP138,0.24
CYP142,CYP139,0.205
CYP142,CYP140,0.24
CYP142,CYP141,0.15
CYP142,CYP143,0.21
CYP142,CYP144,0.24
CYP142,CYP150,0.06
CYP142,CYP151,0.02
CYP142,CYP153,0.005
CYP142,CYP164,0.055
CYP142,CYP185,0.055
CYP142,CYP186,0.015
CYP142,CYP187,0.06
CYP142,CYP188,0.06
CYP142,CYP189,0.06
CYP142,CYP190,0.06
CYP142,CYP191,0.06
CYP142,CYP243,0.035
CYP142,CYP268,0.055
CYP142,CYP272,0.025
CYP142,CYP279,0.055
CYP142,CYP282,0.01
CYP142,CYP291,0.035
CYP142,CYP51,0.235
CYP142,New_family_1,0.235
CYP142,New_family_2,0.04
CYP142,New_family_3,0.01
CYP142,New_family_4,0.005
CYP142,New_family_5,0.01
CYP143,CYP1027,0.01
CYP143,CYP1034,0.015
CYP143,CYP105,0.03
CYP143,CYP108,0.03
CYP143,CYP121,0.19
CYP143,CYP123,0.21
CYP143,CYP124,0.22
CYP143,CYP125,0.055
CYP143,CYP126,0.05
CYP143,CYP128,0.185
CYP143,CYP130,0.195
CYP143,CYP135,0.19
CYP143,CYP136,0.22
CYP143,CYP137,0.19
CYP143,CYP138,0.22
CYP143,CYP139,0.21
CYP143,CYP140,0.22
CYP143,CYP141,0.16
CYP143,CYP142,0.21
CYP143,CYP144,0.22
CYP143,CYP150,0.03
CYP143,CYP153,0.005
CYP143,CYP164,0.03
CYP143,CYP185,0.025
CYP143,CYP187,0.03
CYP143,CYP188,0.03
CYP143,CYP189,0.03
CYP143,CYP190,0.03
CYP143,CYP191,0.03
CYP143,CYP243,0.03
CYP143,CYP268,0.03
CYP143,CYP272,0.02
CYP143,CYP279,0.03
CYP143,CYP291,0.03
CYP143,CYP51,0.215
CYP143,New_family_1,0.215
CYP143,New_family_2,0.03
CYP144,CYP102,0.005
CYP144,CYP1027,0.015
CYP144,CYP1034,0.02
CYP144,CYP105,0.06
CYP144,CYP107,0.015
CYP144,CYP108,0.06
CYP144,CYP121,0.19
CYP144,CYP123,0.24
CYP144,CYP124,0.25
CYP144,CYP125,0.085
CYP144,CYP126,0.08
CYP144,CYP128,0.185
CYP144,CYP130,0.225
CYP144,CYP135,0.215
CYP144,CYP136,0.25
CYP144,CYP137,0.19
CYP144,CYP138,0.25
CYP144,CYP139,0.215
CYP144,CYP140,0.25
CYP144,CYP141,0.16
CYP144,CYP142,0.24
CYP144,CYP143,0.22
CYP144,CYP150,0.06
CYP144,CYP151,0.02
CYP144,CYP153,0.005
CYP144,CYP164,0.055
CYP144,CYP185,0.055
CYP144,CYP186,0.015
CYP144,CYP187,0.06
CYP144,CYP188,0.06
CYP144,CYP189,0.06
CYP144,CYP190,0.06
CYP144,CYP191,0.06
CYP144,CYP243,0.035
CYP144,CYP268,0.055
CYP144,CYP272,0.025
CYP144,CYP279,0.055
CYP144,CYP282,0.01
CYP144,CYP291,0.035
CYP144,CYP51,0.245
CYP144,New_family_1,0.245
CYP144,New_family_2,0.04
CYP144,New_family_3,0.01
CYP144,New_family_4,0.005
CYP144,New_family_5,0.01
CYP150,CYP102,0.005
CYP150,CYP1027,0.015
CYP150,CYP1034,0.02
CYP150,CYP105,0.06
CYP150,CYP107,0.015
CYP150,CYP108,0.06
CYP150,CYP123,0.06
CYP150,CYP124,0.06
CYP150,CYP125,0.06
CYP150,CYP126,0.06
CYP150,CYP130,0.06
CYP150,CYP135,0.025
CYP150,CYP136,0.06
CYP150,CYP138,0.06
CYP150,CYP139,0.025
CYP150,CYP140,0.06
CYP150,CYP142,0.06
CYP150,CYP143,0.03
CYP150,CYP144,0.06
CYP150,CYP151,0.02
CYP150,CYP153,0.005
